Song Number,Song Name,Artist Name,Album Name,Release Date,Popularity
71,Neshar Bojha,Popeye Bangladesh,Ja Ichche Ta,2013-09-19,53
72,Bhalobasha Baki,Popeye Bangladesh,Bhalobasha Baki,2015-01-23,41
73,Asha,Popeye Bangladesh,Ja Ichche Ta,2013-09-19,37
74,Morron Iccha,Popeye Bangladesh,Morron Iccha,2018-10-15,35
75,Ei Tumi Ke ?,Popeye Bangladesh,Amar Shorgo,2010-09-07,33
76,Tikto Shotto,Popeye Bangladesh,Ja Ichche Ta,2013-09-19,30
77,Oparthib,Popeye Bangladesh,Oparthib,2019-02-13,29
78,Tumi Shobi II,Popeye Bangladesh,Ja Ichche Ta,2013-09-19,27
79,Mukto Poton,Popeye Bangladesh,Ja Ichche Ta,2013-09-19,27
80,Tri,Popeye Bangladesh,Tri,2022-10-15,26
81,Jeene Laga Hoon,Atif Aslam,Ramaiya Vastavaiya (Original Motion Picture Soundtrack),2013-07-19,79
82,Saibo,Sachin-Jigar,Shor in the City (Original Motion Picture Soundtrack [Deluxe Edition]),2011,75
83,"Ve Kamleya (From ""Rocky Aur Rani Kii Prem Kahaani"")",Pritam,Rocky Aur Rani Kii Prem Kahaani,2024-05-15,73
84,Samjhawan,Jawad Ahmad,Samjhawan,2014-06-19,74
85,"Jugraafiya - From ""Super 30""",Udit Narayan,"Jugraafiya (From ""Super 30"")",2019-06-15,76
86,Pal,Javed-Mohsin,Jalebi (Original Motion Picture Soundtrack),2018-09-21,72
87,"Tum Kya Mile (From ""Rocky Aur Rani Kii Prem Kahaani"")",Pritam,Rocky Aur Rani Kii Prem Kahaani,2024-05-15,69
88,O Rangrez,Shankar-Ehsaan-Loy,Bhaag Milkha Bhaag (Original Motion Picture Soundtrack),2013-06-14,76
89,Besos,Shreya Ghoshal,Besos,2025-05-08,75
90,Piya O Re Piya,Atif Aslam,Tere Naal Love Ho Gaya (Original Motion Picture Soundtrack),2011-02-24,75
91,TWIST & TURN (feat. Drake & PARTYNEXTDOOR),Popcaan,FIXTAPE,2020-08-07,64
92,Rain,Olamide,Olamidé,2025-06-18,64
93,We Caa Done (feat. Drake),Popcaan,Great Is He,2023-01-27,54
94,Baby Yuh Tight,Popcaan,Baby Yuh Tight,2019-07-03,62
95,Come Over (feat. Popcaan),Jorja Smith,Come Over (feat. Popcaan),2020-10-01,61
96,Risky,Davido,A Good Time,2019-11-22,58
97,Silence,Popcaan,Forever,2018-07-20,61
98,My Type,Popcaan,My Type,2018-03-09,61
99,Fall In Love,Popcaan,Work Permit Riddim,2014-05-20,61
100,Only Man She Want,Popcaan,Only Man She Want,2011-11-08,59
101,Chaleya,Anirudh Ravichander,Jawan,2023-09-05,71
102,"Chuttamalle (From ""Devara Part 1"")",Shilpa Rao,"Chuttamalle (From ""Devara Part 1"")",2024-08-05,77
103,"Kannamma - From ""Ispade Rajavum Idhaya Raniyum""",Sam C.S.,"Kannamma (From ""Ispade Rajavum Idhaya Raniyum"")",2019-01-11,69
104,"Chikitu (From ""Coolie"") (Tamil)",Anirudh Ravichander,"Chikitu (From ""Coolie"") (Tamil)",2025-06-25,73
105,Nee Paartha Vizhigal - The Touch of Love,Anirudh Ravichander,3 (Original Motion Picture Soundtrack),2011-12-23,73
106,Manasilaayo,Anirudh Ravichander,Vettaiyan (Original Motion Picture Soundtrack),2024-10-14,63
107,"Yaanji - From ""Vikram Vedha""",Sam C.S.,"Yaanji (From ""Vikram Vedha"")",2017-06-12,71
108,"Pathikichu (From ""Vidaamuyarchi"")",Anirudh Ravichander,"Pathikichu (From ""Vidaamuyarchi"")",2025-01-19,72
109,"Paththavaikkum (From ""Devara Part 1"")",Deepthi Suresh,"Paththavaikkum (From ""Devara Part 1"")",2024-08-05,72
110,Hukum - Thalaivar Alappara,Anirudh Ravichander,Jailer (Original Motion Picture Soundtrack),2023-07-28,67
111,Nanak Naam,Popsy,Nanak Naam Chardi Kalah,2014-04-03,34
112,Feem,Popsy,Larger Than Life,2002-01-01,32
113,Muk Gayi Feem 2,Popsy,Muk Gayi Feem 2,2021-12-09,28
114,Khand Mishri,Popsy,Bangin,2005-01-01,19
115,Tenu Takna Vi Ni,Popsy,Heavy Duty,1999-01-01,11
116,Bhangra Punjabiyan Ne,Popsy,Bangin,2005-01-01,9
117,Ik Onkar (Mool Mantar),Popsy,Nanak Naam Chardi Kalah,2014-04-03,9
118,Dil Di Talashi,Harlene,Dil Di Talashi,2015-06-09,8
119,Gidhe De Vich,Popsy,Bangin,2005-01-01,7
120,Meri Tanhaai,Amar Sajaalpuri,Meri Tanhaai,2011-04-22,7
121,"Agar Tum Saath Ho (From ""Tamasha"")",Alka Yagnik,Love Wali Feeling: Valentine Special,2017-02-10,72
122,Ladki Badi Anjani Hai,Jatin-Lalit,Kuch Kuch Hota Hai (Original Motion Picture Soundtrack),1998-08-19,71
123,"Mere Mehboob Mere Sanam (From ""Bad Newz"")",Udit Narayan,"Mere Mehboob Mere Sanam (From ""Bad Newz"")",2024-07-13,70
124,"Too Shayar Hai Main Teri Shayari (From ""Saajan"")",Alka Yagnik,My Best Collection - Alka Yagnik,2016-07-01,66
125,Kuch Kuch Hota Hai,Jatin-Lalit,Kuch Kuch Hota Hai (Original Motion Picture Soundtrack),1998-08-19,70
126,"Dil Ne Yeh Kaha Hain Dil Se (From ""Dhadkan"")",Udit Narayan,My Best Collection - Udit Narayan,2016-07-01,62
127,Ae Mere Humsafar,Alka Yagnik,Qayamat Se Qayamat Tak,1988-01-04,69
128,Dilbar Dilbar,Alka Yagnik,Sirf Tum,1999-03-12,69
129,Main Agar Saamne,Abhijeet,Raaz (Original Motion Picture Soundtrack),2002-02-01,69
130,"Dekha Hai Pehli Baar (From ""Saajan"")",Alka Yagnik,My Best Collection - Alka Yagnik,2016-07-01,61
131,NOKIA,Drake,$ome $exy $ongs 4 U,2025-02-14,92
132,What Did I Miss?,Drake,What Did I Miss?,2025-07-05,90
133,One Dance,Drake,Views,2016-05-06,90
134,Passionfruit,Drake,More Life,2017-03-18,88
135,She Will,Lil Wayne,Tha Carter IV (Explicit Version),2011-01-01,82
136,DIE TRYING,PARTYNEXTDOOR,$ome $exy $ongs 4 U,2025-02-14,86
137,God's Plan,Drake,Scorpion,2018-06-29,86
138,Headlines,Drake,Take Care (Deluxe),2011-11-15,86
139,WAIT FOR U (feat. Drake & Tems),Future,I NEVER LIKED YOU,2022-04-29,85
140,9,Drake,Views,2016-05-06,84
141,Tere Bina,A.R. Rahman,Guru (Original Motion Picture Soundtrack),2006-09-11,83
142,"Agar Tum Saath Ho (From ""Tamasha"")",A.R. Rahman,A.R. Rahman All Time Favourites,2022-06-16,55
143,Muththa Mazhai (Reprise),A.R. Rahman,Thug Life (Tamil),2025-06-04,77
144,"Raanjhanaa (From ""Raanjhanaa"")",A.R. Rahman,Raanjhanaa (Original Motion Picture Soundtrack),2013-05-31,78
145,"Tum Tak (From ""Raanjhanaa"")",A.R. Rahman,Raanjhanaa (Original Motion Picture Soundtrack),2013-05-31,76
146,Nee Singam Dhan,A.R. Rahman,Pathu Thala (Original Motion Picture Soundtrack),2023-03-18,76
