Song Number,Song Name,Artist Name,Album Name,Release Date,Popularity
304,Strangers,POP,Новинки Hip-Hop,2023-10-04,0
305,Разминка,POP,МУЗЫКА ДЛЯ СПОРТА,2023-10-12,0
306,Yellow,POP,Hip-Hop New,2023-10-12,0
307,Зима в сердце,POP,"Лучший сборник, песни для праздников, день рождение, выпускной, Новый год, вечеринка, для спорта и тренировок",2024-01-23,0
308,Lovely,POP,HIP-HOP New,2023-10-13,0
309,Wavy,Karan Aujla,Wavy,2024-11-15,81
310,Courtside,Karan Aujla,Courtside,2025-05-13,81
311,At Peace,Karan Aujla,At Peace,2025-06-26,81
312,Winning Speech,Karan Aujla,Winning Speech,2024-05-16,80
313,Softly,Karan Aujla,Making Memories,2023-08-18,79
314,Admirin' You (feat. Preston Pablo),Karan Aujla,Making Memories,2023-08-18,75
315,Tauba Tauba,Karan Aujla,Bad Newz,2024-07-17,70
316,52 Bars,Karan Aujla,Four You,2023-02-04,77
317,God Damn,Badshah,Ek Tha Raja,2024-03-18,75
318,White Brown Black,Avvy Sra,White Brown Black,2022-12-09,75
319,Zara Sa,Pritam,Jannat (Original Motion Picture Soundtrack),2008-03-07,79
320,Ajab Si,Vishal-Shekhar,Om Shanti Om,2007-09-18,78
321,Khuda Jaane,Vishal-Shekhar,Bachna Ae Haseeno,2008-07-05,77
322,Dil Ibaadat,Pritam,Tum Mile (Original Motion Picture Soundtrack),2009-09-08,77
323,Kya Mujhe Pyar Hai,Pritam,Woh Lamhe,2006-08-17,74
324,"Beete Lamhein (From ""The Train"")",KK,Zindagi Do Pal Ki - K.K. All Time Hits,2022-06-01,69
325,Haan Tu Hain,Pritam,Jannat (Original Motion Picture Soundtrack),2008-03-07,74
326,Labon Ko,Pritam,Bhool Bhulaiyaa,2007-09-05,73
327,"Piya Aaye Na (From ""Aashiqui 2"")",Tulsi Kumar,Mesmeric Voice - Tulsi Kumar,2019-08-16,64
328,Tujhe Sochta Hoon,Pritam,Jannat 2 (Original Motion Picture Soundtrack),2012-03-30,72
329,PERFECT,POP,Pink Wave,2021-12-17,0
330,Coffee Shop,POP,Coffee Shop,2020-10-30,0
331,PINK WOLF,POP,PINK WOLF,2022-06-03,0
332,Scammer,POP,Scammer,2020-11-20,0
333,THE BREAK UP,POP,Pink Wave,2021-12-17,0
334,Swayin',POP,12-14,2020-12-15,0
335,2 4 1 SPECIAL,POP,Pink Wave,2021-12-17,0
336,ALL YOU NEED,POP,Pink Wave,2021-12-17,0
337,POP + HER,POP,POP + HER,2020-07-28,0
338,12-14,POP,12-14,2020-12-15,0
339,Yeh Haseen Vadiyan Yeh Khula Aasman,A.R. Rahman,Roja (Original Motion Picture Soundtrack),1994-03-12,67
340,Konji Pesida Venaam,Nivas K Prasanna,Sethupathi (Original Motion Picture Soundtrack),2016-01-20,66
341,Gongoora Thota,S. P. Balasubrahmanyam,Tollywood Rewind 2000,2022-05-25,39
342,Saathiya Tune Kya Kiya,S. P. Balasubrahmanyam,Love (Original Motion Picture Soundtrack),1991-09-21,65
343,"Ennile Punchiri (From ""Phoenix"")",Sam C.S.,"Ennile Punchiri (From ""Phoenix"")",2023-10-27,64
344,Gudilo Badilo Madilo,M.L.R. Karthikeyan,DJ,2017-05-22,64
345,"Kannalanae (From ""Bombay"")",K. S. Chithra,Evergreen Solo Songs of K.S.Chithra,1992-11-27,62
346,"Uyirin Uyire (From ""Kaakha Kaakha"")",K. S. Chithra,Star Hits of Vijay & Surya,2014-09-04,37
347,"Ale Ale - Language: Tamil; From ""Boys""",K. S. Chithra,"Love: Valentine's Special, Vol. 1",2013-02-05,30
348,"Theerame (From ""Malik"")",Sushin Shyam,"Theerame (From ""Malik"")",2021-07-12,59
349,"Saiyaara (From ""Saiyaara"")",Tanishk Bagchi,"Saiyaara (From ""Saiyaara"")",2025-06-03,81
350,Mere Sohneya,Sachet Tandon,Kabir Singh,2019-06-14,70
351,O Maahi,Pritam,Dunki,2023-12-20,75
352,Dil Diyan Gallan,Vishal-Shekhar,Tiger Zinda Hai,2017-12-12,70
353,Tum Se Hi,Pritam,Jab We Met,2007-09-21,79
354,Pee Loon,Pritam,Once Upon A Time In Mumbaai,2010-06-29,77
355,Tum Jo Aaye,Pritam,Once Upon A Time In Mumbaai,2010-06-29,76
356,"Tu Hain Toh Main Hoon (From ""Sky Force"")",Tanishk Bagchi,"Tu Hain Toh Main Hoon (From ""Sky Force"")",2025-01-22,76
357,Bulleya,Vishal-Shekhar,Sultan,2016-05-31,76
358,Bekhayali,Sachet Tandon,Kabir Singh,2019-06-14,60
359,Poate,POP,Poate,2024-08-02,5
360,Cabrio e30,POP,Cabrio e30,2023-08-21,3
361,4 noaptea,POP,4 noaptea,2023-10-31,3
362,Decat sa minti 2,POP,Decat sa minti 2,2023-09-26,1
363,Iubeste-Ma,POP,Iubeste-Ma,2024-11-08,0
364,Salvarea Mea,POP,Salvarea Mea,2024-01-25,0
365,Suna-ma,POP,Suna-ma,2023-02-13,0
366,Blocat,POP,Blocat,2023-04-03,0
367,No More,POP,No More,2023-05-04,0
368,Spune-mi,POP,Spune-mi,2023-07-13,0
369,DAISIES,Justin Bieber,SWAG,2025-07-11,92
370,Beauty And A Beat,Justin Bieber,Believe,2012-01-01,86
371,Sorry,Justin Bieber,Purpose (Deluxe),2015-11-13,88
372,Love Yourself,Justin Bieber,Purpose (Deluxe),2015-11-13,87
373,STAY (with Justin Bieber),The Kid LAROI,F*CK LOVE 3+: OVER YOU,2021-07-27,83
374,YUKON,Justin Bieber,SWAG,2025-07-11,88
375,GO BABY,Justin Bieber,SWAG,2025-07-11,88
376,Confident,Justin Bieber,Journals,2014-05-13,87
377,ALL I CAN TAKE,Justin Bieber,SWAG,2025-07-11,87
378,Ghost,Justin Bieber,Justice,2021-03-19,86
379,YOU,POP,YOU,2023-10-01,10
380,Let Her Go,lost.,Let Her Go,2021-09-17,56
381,Runaway - Slowed + Reverb,Pop Mage,Runaway (Slowed + Reverb),2023-09-29,54
382,Bad Liar - Slowed,Pop Mage,Bad Liar (Slowed),2023-06-16,52
383,Dancing With Your Ghost - Slowed,Pop Mage,Dancing With Your Ghost (Slowed),2023-06-16,50
384,Unstoppable - Acoustic,Honeyfox,Unstoppable (Acoustic),2022-07-15,48
385,Let Her Go - Slowed,Pop Mage,Let Her Go (Slowed),2023-06-16,48
386,Love Is Gone - Slowed,Pop Mage,Love Is Gone (Slowed),2023-06-16,48
387,Death Bed - slowed + reverb,Slowed Tunes,Slowed Tunes Vol. 2,2022-06-27,45
388,Impossible - Acoustic,Simon Park,Impossible (Acoustic),2022-11-11,45
389,The Nights,Pop Mage,The Nights,2025-01-29,45
